2023-07-04; 08:13:41; 00:07:04; Триблок; |Ремонт наливного крана;|
2023-07-04; 07:30:44; 00:04:07; Триблок; Настройка;
2023-07-04; 08:45:26; 00:16:02; Триблок; |Ремонт наливного крана;|
2023-07-04; 05:11:01; 00:18:56; Триблок; |Отсутствие электроэнергии;|
2023-07-04; 09:02:54; 00:05:36; Триблок; |Ремонт наливного крана;|
2023-07-04; 05:01:17; 00:05:21; Триблок; |Отсутствие электроэнергии;|
2023-07-03; 23:33:37; 00:28:19; Триблок; |Закрытие партии суточное;|
2023-07-04; 09:27:34; 00:05:40; Триблок; |Ремонт наливного крана;|
2023-07-03; 21:39:27; 00:17:35; Триблок; |Переход по этикетке и в/м;|
2023-07-04; 06:23:24; 00:04:59; Этикетировка; |Замена контрэтикетки, этикетки, марки;|
2023-07-03; 23:22:04; 00:05:24; |Мюзлёвочный аппарат;| Настройка;
2023-07-03; 20:19:35; 00:08:31; Триблок; |Ремонт наливного крана;|
2023-07-04; 11:20:52; 00:03:59; |Капсуляторная машина;| Настройка;
2023-07-03; 20:33:37; 00:05:23; |Этикетировочная машина;| Настройка;
2023-07-04; 06:56:27; 00:03:30; Этикетировка; |Замена контрэтикетки, этикетки, марки;|
2023-07-04; 10:23:41; 00:04:44; Этикетировка; |Замена контрэтикетки, этикетки, марки;|
2023-07-04; 11:13:33; 00:04:03; Этикетировка; Настройка;
2023-07-03; 22:14:14; 00:32:19; Триблок; |Переход по этикетке и в/м;|
2023-07-04; 11:31:28; 00:05:54; Этикетировка; |Замена контрэтикетки, этикетки, марки;|
2023-07-04; 00:03:00; 00:36:07; Триблок; Обед;
2023-07-04; 07:00:46; 00:05:20; |Мюзлёвочный аппарат;| Настройка;
2023-07-04; 01:30:08; 00:03:50; Этикетировка; |Замена контрэтикетки, этикетки, марки;|
2023-07-04; 13:39:41; 00:18:14; |Укладчик бутылок;| None;
2023-07-04; 03:57:27; 00:41:20; Триблок; Обед;
2023-07-04; 07:14:38; 00:07:07; Триблок; |Ремонт наливного крана;|
2023-07-04; 14:09:26; 00:06:03; |Укладчик бутылок;| None;
2023-07-04; 14:16:22; 00:05:50; |Укладчик бутылок;| None;
2023-07-04; 08:21:16; 00:23:41; Триблок; |Ремонт наливного крана;|
2023-07-04; 15:57:29; 00:03:30; |Мюзлёвочный аппарат;| |Поломка аппарата;|
2023-07-04; 12:53:51; 00:04:15; |Укладчик бутылок;| None;
2023-07-04; 13:24:06; 00:09:09; |Укладчик бутылок;| None;
2023-07-23; 06:03:35; 00:04:22; Триблок; None;
2023-07-04; 11:50:33; 01:02:15; |Триблок розлива;| Обед;
2023-07-04; 14:01:28; 00:05:23; |Укладчик бутылок;| None;
2023-07-04; 14:40:10; 00:04:40; |Укладчик бутылок;| None;
2023-07-05; 04:05:31; 00:31:50; Триблок; Обед;
